rownames;wage;lwage;sex;shs;hsg;scl;clg;ad;mw;so;we;ne;exp1;exp2;exp3;exp4;occ;occ2;ind;ind2
10;9.615384615;2.26336438;1;0;0;0;1;0;0;0;0;1;7;0.49;0.343;0.2401;3600;11;8370;18
12;48.07692308;3.872802292;0;0;0;0;1;0;0;0;0;1;31;9.61;29.791;92.3521;3050;10;5070;9
15;11.05769231;2.403126322;0;0;1;0;0;0;0;0;0;1;18;3.24;5.832;10.4976;6260;19;770;4
18;13.94230769;2.634927936;1;0;0;0;0;1;0;0;0;1;25;6.25;15.625;39.0625;420;1;6990;12
19;28.84615385;3.361976669;1;0;0;0;1;0;0;0;0;1;22;4.84;10.648;23.4256;2015;6;9470;22
30;11.73076923;2.462215239;1;0;0;0;1;0;0;0;0;1;1;0.01;0.001;0.0001;1650;5;7460;14
43;19.23076923;2.95651156;1;0;1;0;0;0;0;0;0;1;42;17.64;74.088;311.1696;5120;17;7280;14
44;19.23076923;2.95651156;0;0;1;0;0;0;0;0;0;1;37;13.69;50.653;187.4161;5240;17;5680;9
47;12;2.48490665;1;0;1;0;0;0;0;0;0;1;31;9.61;29.791;92.3521;4040;13;8590;19
71;19.23076923;2.95651156;1;0;0;0;1;0;0;0;0;1;4;0.16;0.064;0.0256;3255;10;8190;18
73;17.30769231;2.851151045;1;0;1;0;0;0;0;0;0;1;7;0.49;0.343;0.2401;4020;13;8270;18
77;12.01923077;2.486507931;0;0;1;0;0;0;0;0;0;1;30;9;27;81;4220;14;8270;18
84;12.01923077;2.486507931;1;0;0;1;0;0;0;0;0;1;5.5;0.3025;0.166375;0.09150625;3600;11;8270;18
89;13.46153846;2.599836616;1;0;0;1;0;0;0;0;0;1;20.5;4.2025;8.615125;17.66100625;3645;11;8190;18
96;16.34615385;2.793992631;1;0;0;0;1;0;0;0;0;1;25;6.25;15.625;39.0625;110;1;7870;17
113;27.88461538;3.328075117;0;0;1;0;0;0;0;0;0;1;16;2.56;4.096;6.5536;6355;19;770;4
115;21.6;3.072693315;0;0;1;0;0;0;0;0;0;1;27;7.29;19.683;53.1441;6320;19;770;4
119;8.653846154;2.158003864;0;0;0;1;0;0;0;0;0;1;3.5;0.1225;0.042875;0.01500625;7410;20;570;3
128;19.23076923;2.95651156;0;0;1;0;0;0;0;0;0;1;6;0.36;0.216;0.1296;7000;20;4690;9
129;13.18681319;2.579217329;0;0;1;0;0;0;0;0;0;1;8;0.64;0.512;0.4096;4000;13;8680;20
135;10.68376068;2.368724895;1;0;0;1;0;0;0;0;0;1;6.5;0.4225;0.274625;0.17850625;4300;15;8590;19
144;11.53846154;2.445685937;1;0;0;1;0;0;0;0;0;1;8.5;0.7225;0.614125;0.52200625;3600;11;8190;18
145;17.78846154;2.878550019;1;0;0;0;0;1;0;0;0;1;11;1.21;1.331;1.4641;2310;8;7860;17
149;19.23076923;2.95651156;0;0;0;0;1;0;0;0;0;1;11;1.21;1.331;1.4641;6200;19;770;4
152;16.30434783;2.79143181;1;0;0;1;0;0;0;0;0;1;24.5;6.0025;14.706125;36.03000625;20;1;5480;9
157;19.23076923;2.95651156;0;0;1;0;0;0;0;0;0;1;8;0.64;0.512;0.4096;4800;16;7390;14
158;14.42307692;2.668829488;1;0;1;0;0;0;0;0;0;1;5;0.25;0.125;0.0625;430;1;7390;14
160;12;2.48490665;0;0;0;1;0;0;0;0;0;1;4.5;0.2025;0.091125;0.04100625;6330;19;770;4
164;16.82692308;2.822980168;0;0;0;0;1;0;0;0;0;1;8;0.64;0.512;0.4096;5400;17;4870;9
176;19.67032967;2.979111392;0;0;0;0;1;0;0;0;0;1;26;6.76;17.576;45.6976;6230;19;6570;11
191;42.30769231;3.744968921;1;0;0;0;0;1;0;0;0;1;0;0;0;0;4700;16;4795;9
206;13.94230769;2.634927936;1;0;0;1;0;0;0;0;0;1;15.5;2.4025;3.723875;5.77200625;5860;17;4670;9
213;10.09615385;2.312154544;1;0;0;1;0;0;0;0;0;1;9;0.81;0.729;0.6561;3500;10;8090;18
219;14.05325444;2.642854002;1;0;0;0;0;1;0;0;0;1;14;1.96;2.744;3.8416;2330;8;7860;17
221;11.96581197;2.482053581;1;0;1;0;0;0;0;0;0;1;14;1.96;2.744;3.8416;430;1;2980;6
222;11.53846154;2.445685937;0;0;1;0;0;0;0;0;0;1;5;0.25;0.125;0.0625;8965;21;2980;6
225;24.03846154;3.179655112;1;0;0;0;1;0;0;0;0;1;31;9.61;29.791;92.3521;2630;9;4870;9
229;16.27218935;2.789457476;0;0;0;0;0;1;0;0;0;1;28;7.84;21.952;61.4656;4610;15;8290;18
231;11.53846154;2.445685937;0;0;1;0;0;0;0;0;0;1;11;1.21;1.331;1.4641;9130;22;6170;10
232;41.20879121;3.718651612;1;0;0;0;1;0;0;0;0;1;11;1.21;1.331;1.4641;4700;16;5790;9
245;21.63461538;3.074294596;1;0;0;1;0;0;0;0;0;1;17.5;3.0625;5.359375;9.37890625;5400;17;6695;11
248;11.21794872;2.41751506;0;0;1;0;0;0;0;0;0;1;12;1.44;1.728;2.0736;9130;22;6170;10
254;6.730769231;1.906689436;1;0;1;0;0;0;0;0;0;1;15;2.25;3.375;5.0625;3600;11;8270;18
261;10.09615385;2.312154544;0;0;1;0;0;0;0;0;0;1;27;7.29;19.683;53.1441;3600;11;8090;18
264;12.01923077;2.486507931;1;0;0;1;0;0;0;0;0;1;6.5;0.4225;0.274625;0.17850625;4110;13;8680;20
265;14.0224359;2.640658611;0;0;1;0;0;0;0;0;0;1;12;1.44;1.728;2.0736;9620;22;8870;21
276;28.84615385;3.361976669;0;0;1;0;0;0;0;0;0;1;41;16.81;68.921;282.5761;9620;22;4970;9
280;7.211538462;1.975682307;1;0;0;1;0;0;0;0;0;1;17.5;3.0625;5.359375;9.37890625;4720;16;4980;9
281;11.77884615;2.466305224;1;0;0;0;1;0;0;0;0;1;7;0.49;0.343;0.2401;5860;17;6870;12
282;26.92307692;3.292983797;0;0;0;0;0;1;0;0;0;1;23;5.29;12.167;27.9841;20;1;8680;20
286;12.93706294;2.560096288;0;0;0;1;0;0;0;0;0;1;34.5;11.9025;41.063625;141.6695063;9000;22;5670;9
291;13.07692308;2.57084908;1;0;0;0;1;0;0;0;0;1;10;1;1;1;725;2;8590;19
298;15.38461538;2.733368009;0;0;1;0;0;0;0;0;0;1;36;12.96;46.656;167.9616;8965;21;2190;5
299;22.5;3.113515309;1;0;0;0;0;1;0;0;0;1;35;12.25;42.875;150.0625;2310;8;7860;17
319;100;4.605170186;1;0;0;0;0;1;0;0;0;1;27;7.29;19.683;53.1441;850;2;6970;12
348;11.53846154;2.445685937;0;0;1;0;0;0;0;0;0;1;41;16.81;68.921;282.5761;3600;11;8270;18
352;11.53846154;2.445685937;0;0;1;0;0;0;0;0;0;1;15;2.25;3.375;5.0625;4010;13;8680;20
366;21.63461538;3.074294596;1;0;0;0;1;0;0;0;0;1;23;5.29;12.167;27.9841;3320;10;8190;18
367;5.769230769;1.752538756;1;0;1;0;0;0;0;0;0;1;26;6.76;17.576;45.6976;4020;13;8190;18
368;8.50591716;2.140762058;0;0;0;1;0;0;0;0;0;1;4.5;0.2025;0.091125;0.04100625;4220;14;8590;19
375;33.98926655;3.526044785;0;0;0;0;1;0;0;0;0;1;21;4.41;9.261;19.4481;5600;17;3680;6
376;19.23076923;2.95651156;1;0;1;0;0;0;0;0;0;1;29;8.41;24.389;70.7281;5700;17;7970;18
378;15.72115385;2.755007184;1;0;0;0;1;0;0;0;0;1;2;0.04;0.008;0.0016;5940;17;8290;18
379;23.07692308;3.138833117;0;0;0;0;1;0;0;0;0;1;5;0.25;0.125;0.0625;7630;20;4170;7
399;23.33386752;3.149905847;0;0;0;0;1;0;0;0;0;1;27;7.29;19.683;53.1441;120;1;6970;12
402;20.32967033;3.012081412;1;0;0;1;0;0;0;0;0;1;33;10.89;35.937;118.5921;7700;21;1280;5
416;16.82692308;2.822980168;1;0;0;0;1;0;0;0;0;1;7;0.49;0.343;0.2401;3640;11;7870;17
430;9.440559441;2.245015241;0;0;1;0;0;0;0;0;0;1;25;6.25;15.625;39.0625;4020;13;8680;20
431;6.730769231;1.906689436;0;0;1;0;0;0;0;0;0;1;7;0.49;0.343;0.2401;6820;19;770;4
433;19.90384615;2.990912987;1;0;0;0;0;1;0;0;0;1;19;3.61;6.859;13.0321;2010;6;9480;22
436;6.043956044;1.799058772;0;0;0;0;1;0;0;0;0;1;3;0.09;0.027;0.0081;4760;16;5170;9
442;19.23076923;2.95651156;1;0;1;0;0;0;0;0;0;1;36;12.96;46.656;167.9616;3255;10;8190;18
445;10.57692308;2.35867456;1;0;1;0;0;0;0;0;0;1;19;3.61;6.859;13.0321;4110;13;8680;20
464;10.57692308;2.35867456;0;0;1;0;0;0;0;0;0;1;28;7.84;21.952;61.4656;4220;14;7870;17
466;22.59615385;3.117779708;1;0;0;1;0;0;0;0;0;1;34;11.56;39.304;133.6336;3500;10;8090;18
467;28.84615385;3.361976669;0;0;1;0;0;0;0;0;0;1;33;10.89;35.937;118.5921;8220;21;3680;6
471;21.42857143;3.064725145;1;0;0;0;1;0;0;0;0;1;10;1;1;1;2310;8;7860;17
472;17.09401709;2.838728525;0;0;1;0;0;0;0;0;0;1;12;1.44;1.728;2.0736;50;1;7380;14
475;18.75;2.931193752;1;0;0;1;0;0;0;0;0;1;5.5;0.3025;0.166375;0.09150625;3700;12;9470;22
480;9.615384615;2.26336438;1;0;1;0;0;0;0;0;0;1;7;0.49;0.343;0.2401;5700;17;3895;6
482;19.23076923;2.95651156;0;0;1;0;0;0;0;0;0;1;10;1;1;1;6230;19;770;4
483;9.615384615;2.26336438;0;0;1;0;0;0;0;0;0;1;9;0.81;0.729;0.6561;6260;19;770;4
493;16;2.772588722;0;0;1;0;0;0;0;0;0;1;25;6.25;15.625;39.0625;4250;14;7770;16
494;25.64102564;3.244193633;0;0;0;1;0;0;0;0;0;1;26.5;7.0225;18.609625;49.31550625;4850;16;4270;7
496;21.63461538;3.074294596;1;0;0;0;1;0;0;0;0;1;20;4;8;16;5700;17;7770;16
500;8.547008547;2.145581344;0;1;0;0;0;0;0;0;0;1;37;13.69;50.653;187.4161;6800;19;490;2
